ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
-0.27,-0.1100000000000001,2,8,-6,-2.5,0.457,0.258,0.285,-1
0.030000000000000027,0.020000000000000018,4,5,-1,-3.5,0.457,0.258,0.285,0
1.06,1.15,12,8,4,3.5,0.457,0.258,0.285,1
-1.26,-1.3399999999999999,1,9,-8,-9.5,0.457,0.258,0.285,-1
-0.18999999999999995,0.6100000000000001,10,11,-1,3.0,0.457,0.258,0.285,1
0.030000000000000027,-0.69,1,10,-9,2.0,0.457,0.258,0.285,0
-0.2300000000000001,-0.10999999999999988,4,5,-1,5.0,0.457,0.258,0.285,1
-0.06000000000000005,1.22,6,7,-1,0.0,0.457,0.258,0.285,-1
0.29000000000000004,-0.30000000000000004,5,2,3,2.5,0.457,0.258,0.285,0
0.18999999999999995,0.1100000000000001,10,1,9,-8.0,0.457,0.258,0.285,0
-0.55,-1.4599999999999997,6,13,-7,-8.5,0.457,0.258,0.285,-1
0.8700000000000001,1.45,12,7,5,8.0,0.457,0.258,0.285,1
0.28,-0.18999999999999995,15,15,0,1.5,0.457,0.258,0.285,0
-0.06000000000000005,0.30000000000000027,0,5,-5,2.5,0.457,0.258,0.285,1
0.3400000000000001,0.7700000000000002,12,2,10,0.0,0.457,0.258,0.285,1
0.28,-0.20999999999999996,1,8,-7,1.0,0.457,0.258,0.285,0
-0.40000000000000013,-0.52,4,9,-5,-1.5,0.457,0.258,0.285,0
0.4099999999999999,1.35,6,3,3,8.5,0.457,0.258,0.285,1
-0.09999999999999987,-0.20000000000000018,6,4,2,-2.5,0.457,0.258,0.285,1
0.06000000000000005,0.25,10,5,5,-7.5,0.457,0.258,0.285,1
-1.03,-1.6199999999999997,6,9,-3,-15.0,0.457,0.258,0.285,-1
0.46999999999999975,0.71,12,8,4,9.5,0.457,0.258,0.285,0
1.0,0.5899999999999997,9,12,-3,6.5,0.457,0.258,0.285,1
0.94,1.5899999999999999,13,5,8,4.0,0.457,0.258,0.285,1
-0.7,-1.19,6,10,-4,-8.5,0.457,0.258,0.285,-1
0.3700000000000001,-0.71,8,6,2,-3.5,0.457,0.258,0.285,-1
-0.21000000000000008,0.30000000000000004,2,9,-7,5.0,0.457,0.258,0.285,0
-0.20999999999999996,0.11999999999999988,4,6,-2,7.5,0.457,0.258,0.285,1
